model_version,experiment,condition,seed,cond_recover_at,config_id,PERSONALITY_WEIGHT,TRAIT_DRIFT,TRAIT_SATURATION,LANDMARK_BONUS,HARDSHIP_MAX_BOOST,FLOOR_DECAY_PER_DAY,LANDMARK_PERMANENT,GOAL_BONUS,GOAL_OFF_TASK,GOAL_SWITCH_MARGIN,GOAL_MIN_DAYS,GOAL_REFRACTORY,GOAL_STALL_DAYS,GOAL_SLACK_FOOD,GOAL_SLACK_COND,n_move,n_stay,dead_move,dead_stay,ratio_move,logratio_move,ratio_stay,goal_ratio_move,keep
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,171,27.204324,1.368147,0.611478,15.75297,12.860372,0.358532,0.325335,16.898158,17.568683,0.309848,3,7,4,2.758194,71.356978,282,209,0.06,0.3033,1.02142,0.00733,1.13378,0.9811,0.9009
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,172,27.908227,0.696185,0.258205,47.049329,16.858977,0.398042,0.14021,61.43496,12.086772,0.14521,3,7,7,4.320453,73.914347,274,222,0.0867,0.26,1.01815,0.01281,1.21197,0.95321,0.84008
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,174,28.323736,1.235217,0.75835,21.076397,43.308673,0.443044,0.496146,20.311632,11.671299,0.270721,3,7,7,3.414567,82.555877,285,220,0.05,0.2667,1.14291,0.14983,1.23195,0.9266,0.92772
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,176,50.337777,0.61538,0.753884,14.504889,27.36379,0.330472,0.430643,20.308987,8.77538,0.217755,3,12,8,5.309934,83.775297,238,159,0.2067,0.47,1.02963,0.04528,1.04887,0.9563,0.98166
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,177,18.652769,0.692272,0.624435,31.649884,38.808369,0.644051,0.172976,31.755221,13.672762,0.376818,1,3,4,3.311385,61.043881,292,259,0.0267,0.1367,0.99876,-0.01186,1.27575,0.89673,0.78287
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,182,28.639237,0.738794,0.637202,46.685538,27.086594,0.264883,0.343165,25.074949,10.382818,0.43891,1,6,2,2.569813,70.092899,199,123,0.3367,0.59,1.14986,0.13387,1.2095,1.03005,0.9507
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,183,15.139482,1.397627,0.451671,39.237133,15.548594,0.574252,0.757975,28.239565,16.713762,0.446079,2,6,6,2.280303,71.303672,289,251,0.0367,0.1633,1.05342,0.04413,1.32574,0.90899,0.79459
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,184,15.112166,1.184886,0.914365,21.156909,41.126805,0.250178,0.226999,33.907079,24.686857,0.362174,1,6,7,2.428157,95.67565,292,264,0.0267,0.12,0.98013,-0.02026,1.37859,0.79428,0.71096
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,186,39.212004,1.838126,0.141205,13.639438,35.528947,0.378129,0.192493,30.948329,14.725824,0.290345,4,7,3,6.221731,96.504116,228,87,0.24,0.71,1.70397,0.58318,1.42504,1.09836,1.19574
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,188,32.99929,1.28591,0.182077,22.225075,19.166404,0.332539,0.355034,19.458661,7.412897,0.184878,3,6,4,4.603071,70.199812,275,184,0.0833,0.3867,1.11436,0.11075,1.069,0.9886,1.04243
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,189,38.756818,0.718464,0.268153,27.875274,16.765921,0.39037,0.451709,20.876139,11.118267,0.440864,2,7,5,5.737242,63.905063,245,160,0.1833,0.4667,1.13593,0.12992,1.07991,1.0168,1.05187
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,194,23.371512,1.043461,0.362968,30.706516,12.819807,0.611929,0.596934,17.153188,17.58762,0.318398,4,5,8,5.443341,67.550241,281,213,0.0633,0.29,0.9691,-0.01863,1.13208,0.96045,0.85604
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,192,25.755905,0.761266,0.375954,38.910756,14.962381,0.20137,0.353291,22.646755,9.273997,0.143014,4,12,4,3.187796,66.235126,285,236,0.05,0.2133,1.08113,0.06633,1.18486,1.04846,0.91246
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,193,32.367689,1.038521,0.743881,21.836243,18.722195,0.581904,0.618436,23.69081,21.072011,0.308934,2,8,4,2.157497,72.724816,287,234,0.0433,0.22,1.16031,0.13599,1.30782,0.97418,0.88721
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,197,32.331784,0.728785,0.876689,24.111446,12.066303,0.197412,0.746198,19.285022,9.138484,0.420095,2,3,8,4.908712,92.928157,285,231,0.05,0.23,0.99924,0.00182,1.07465,0.92475,0.92983
